SPEC_ID,NAME,RA,DEC,Z,Quality,HB_score,HA_score,OIII_score,HB_width,HA_width,OIII_width,Std,Two_mad,Three_mad,Good_twomad,Good_threemad,Narrow_2si,Narrow_3si,Narrow_3si_6
22612,g0408218-693411,62.090625,-69.56958333,0.039351,4,0.195037699,0.16070487,0.19421367,5.128272822,3.002344955,0.061222755,0.203975497,0.104557805,0.156836708,true,true,true,true,true
22613,g0411008-695033,62.75320833,-69.84236111,0.048141,4,0.580418486,0.256145144,0.767134384,4.478443881,3.702837992,0.361499171,0.207677314,0.129140951,0.193711427,true,true,true,true,true
22846,g0400023-510002,60.00975,-51.00041667,0.057806,4,0.661927556,0.447740521,0.57128548,4.574546281,3.764930127,0.20133497,0.179853292,0.172044889,0.258067334,true,true,true,true,true
22863,g0406067-521519,61.52791667,-52.25538889,0.042637,4,0.272100621,0.20657191,0.317835631,3.591793754,2.574432272,0.124331724,0.109710067,0.107117396,0.160676095,true,true,true,true,true
22876,not__in__config,61.20945833,-53.59977778,0.043785,4,1.623981703,3.768341563,2.09205291,4.057494357,4.811883664,0.938656079,0.340459087,0.329265591,0.493898386,true,true,true,true,true
22924,g0402352-110850,60.64645833,-11.14725,0.024228,4,0.5989658,1.184137825,0.313040396,4.533359457,5.230416981,7.968430334,0.187022817,0.143284415,0.214926622,true,true,true,true,true
23104,g0401018-363330,60.25729167,-36.55836111,0.022249,4,0.748328228,3.106345544,1.180971661,4.192852834,4.996798062,0.542234968,0.227427733,0.194461806,0.291692709,true,true,true,true,true
23105,g0401596-364055,60.4985,-36.68191667,0.100363,3,0.687791765,1.956535515,0.377621435,5.071196366,5.601759149,10.88141436,0.24813698,0.232304511,0.348456767,true,true,true,true,true
23113,g0403357-380330,60.89891667,-38.05819444,0.059943,4,0.562466105,2.438823005,0.91007507,5.461672954,5.415291215,0.376534128,0.352483794,0.205232889,0.307849334,true,true,true,true,true
23118,g0401462-383320,60.44258333,-38.55563889,0.059944,4,0.508909349,0.314804613,0.645965642,5.091368627,0.592781228,0.277164914,0.214023566,0.121513087,0.18226963,true,true,true,true,true
23210,g0407521-611613,61.96720833,-61.27022222,0.021384,4,0.15386094,0.111077843,2.717256061,5.195915988,3.012384584,1.32062669,0.127357765,0.072045371,0.108068056,true,true,true,true,true
